
Le tableau historique de France
法国历史大事年表
历史时期	历史事件
公元前8世纪-公元前7世纪	希腊人（les Grecs）开始在法国南部生活，建成马赛、尼斯等重要南方城镇；而[[高卢]]人（les Gaulois，凯尔特人的一个分支）亦开始在法国东部生活
公元前58年-公元前52年	罗马凯撒大帝（Jules César）攻克高卢，建立高卢行省，高卢-罗马文明（la civilisation gallo-romaine）时期开始
公元5世纪	法兰克人（les Francs）征服高卢
481年-751年	墨洛温王朝（les Mérovingiens）
496年	法国历史上第一位正统君主克洛维一世（Clovis Ier）在圣城兰斯受洗，法国从此成为基督教国家
751年-987年	加洛林王朝（les Carolingiens）
754年	丕平献土
800年	查理曼大帝（Charlemagne）在罗马加冕，统一西方并实现了整个西方在政治、宗教、文化上的同一性，成为西方的皇帝
公元9世纪	维京族（les Vikings）入侵法国，到处抢掠
987年-1328年	卡佩王朝（les Capétiens）
1328年-1498年	瓦卢瓦王朝（les Valois）
1337年-1453年	英法百年战争（la Guerre de Cent Ans）
1431年	圣女贞德（Jeanne d’Arc）殉难
1494年-1525年	意大利战争（les Guerres d’Italie），文艺复兴运动（la Renaissance）由此从意大利传入法国
1515年	弗朗索瓦一世（Fran?ois Ier）在意大利战争中的马里尼昂一役大胜
1539年	《维雷-戈特莱敕令（Ordonnance de Villers-Cotterêts）》取消拉丁语在法国的官方语言地位，由法语取而代之
1562年-1593年	法国宗教战争（les Guerres de Religion）
1643年-1715年	路易十四（太阳王，le Roi-Soleil）专政，建立封建专制王朝，法国国力强盛
18世纪	启蒙时代（le Siècle des Lumières）
1789年	三级会议（les états-Généraux）重开，攻陷巴士底狱（la prise de la Bastille），法国大革命（la Révolution fran?aise）拉开帷幕
1792年-1804年	法兰西第一共和国（la Ière République fran?aise）时期
1792年-1793年	国民公会（la Convention nationale）时期
1793年	国王路易十六（Louis XVI）被送上断头台处决
1794年	热月政变
1795年-1799年	督政府（le Directoire）时期
1795年	葡月暴动
1799年	雾月政变
1799年-1804年	执政府（le Consulat）时期
1804年-1815年	法兰西第一帝国（le Premier Empire），拿破仑?波拿巴（Napoléon Bonaparte）称帝
1815年-1830年	波旁王朝复辟（la Restauration）
1830年	七月革命（la Révolution de Juillet）
光荣三日（les Trois Glorieuses）
推翻波旁复辟王朝，建立七月王朝
1830年-1848年	七月王朝（la monarchie de Juillet）
1848年	二月革命（la Révolution de 1848）
1848年-1852年	法兰西第二共和国（la IIe République）
1852年-1870年	法兰西第二帝国（le Second Empire）
1870年	普法战争（la Guerre franco-allemande）开始
1870年-1940年	法兰西第三共和国（la IIIe République）
1871年	巴黎公社（la Commune de Paris）
1879年-1914年	美好年代（la Belle époque）
1914年-1918年	第一次世界大战（la Première Guerre mondiale），法国作为协约国成员之一参战，1918年取得战争胜利
1939年-1945年	第二次世界大战（la Seconde Guerre mondiale）
1940年-1944年	维希政权（le Régime Vichy）
1940年-1943年	自由法国（la Libération）
1944年	[[诺曼底登陆]]（le débarquement de Normandie）
巴黎解放
1944年-1946年	临时政府（le Gouvernement provisoire de la République，GPRF）
1946年-1958年	法兰西第四共和国（la IVe République）
1951年	法国成为首批加入欧洲煤钢联营（Communauté européenne du charbon et de l’acier，CECA）的成员国之一，参与欧洲一体化进程
1957年	欧洲共同体（Communauté économique européenne，CEE）成立
1958年-至今	法兰西第五共和国（la Ve République）
1968年	五月学潮风暴（mai 1968）
1986年-1988年	第一次左右两派共治时期（la première cohabitation politique）
1993年	欧洲联盟（Union européenne，UE）成立
2002年	欧洲统一货币，使用欧元


